=== RESUMO ESTATÍSTICO ===

TAREFA A - LAÇO IRREGULAR
----------------------------------------------------------------------------------------------------
          tarefa       n    k  threads      mean      std  chunk
 tarefa_a_guided  500000 20.0       16  0.073177 0.002289   16.0
 tarefa_a_guided  500000 20.0       16  0.076506 0.003953   64.0
 tarefa_a_guided  500000 24.0        1  2.302642 0.012837    1.0
 tarefa_a_guided  500000 24.0        1  2.291865 0.005216    4.0
 tarefa_a_guided  500000 24.0        1  2.302777 0.015459   16.0
 tarefa_a_guided  500000 24.0        1  2.309898 0.014273   64.0
 tarefa_a_guided  500000 24.0        2  1.253381 0.029858    1.0
 tarefa_a_guided  500000 24.0        2  1.259797 0.022076    4.0
 tarefa_a_guided  500000 24.0        2  1.215339 0.022275   16.0
 tarefa_a_guided  500000 24.0        2  1.229571 0.036246   64.0
 tarefa_a_guided  500000 24.0        4  0.720926 0.025753    1.0
 tarefa_a_guided  500000 24.0        4  0.720200 0.029169    4.0
 tarefa_a_guided  500000 24.0        4  0.750419 0.025289   16.0
 tarefa_a_guided  500000 24.0        4  0.732592 0.026863   64.0
 tarefa_a_guided  500000 24.0        8  0.488017 0.014671    1.0
 tarefa_a_guided  500000 24.0        8  0.480368 0.011162    4.0
 tarefa_a_guided  500000 24.0        8  0.484092 0.012779   16.0
 tarefa_a_guided  500000 24.0        8  0.492708 0.019730   64.0
 tarefa_a_guided  500000 24.0       16  0.456818 0.019440    1.0
 tarefa_a_guided  500000 24.0       16  0.451257 0.016728    4.0
 tarefa_a_guided  500000 24.0       16  0.443680 0.011388   16.0
 tarefa_a_guided  500000 24.0       16  0.452853 0.004443   64.0
 tarefa_a_guided  500000 28.0        1 13.438687 0.030177    1.0
 tarefa_a_guided  500000 28.0        1 13.484436 0.037432    4.0
 tarefa_a_guided  500000 28.0        1 13.475803 0.028622   16.0
 tarefa_a_guided  500000 28.0        1 13.481946 0.059714   64.0
 tarefa_a_guided  500000 28.0        2  7.364137 0.083888    1.0
 tarefa_a_guided  500000 28.0        2  7.313411 0.118362    4.0
 tarefa_a_guided  500000 28.0        2  7.373441 0.066849   16.0
 tarefa_a_guided  500000 28.0        2  7.330754 0.083123   64.0
 tarefa_a_guided  500000 28.0        4  4.244341 0.082443    1.0
 tarefa_a_guided  500000 28.0        4  4.150021 0.064912    4.0
 tarefa_a_guided  500000 28.0        4  4.223129 0.061839   16.0
 tarefa_a_guided  500000 28.0        4  4.228288 0.097542   64.0
 tarefa_a_guided  500000 28.0        8  2.880156 0.038569    1.0
 tarefa_a_guided  500000 28.0        8  2.847846 0.023924    4.0
 tarefa_a_guided  500000 28.0        8  2.869522 0.023448   16.0
 tarefa_a_guided  500000 28.0        8  2.844608 0.025205   64.0
 tarefa_a_guided  500000 28.0       16  2.630367 0.057415    1.0
 tarefa_a_guided  500000 28.0       16  2.665741 0.015374    4.0
 tarefa_a_guided  500000 28.0       16  2.669999 0.026970   16.0
 tarefa_a_guided  500000 28.0       16  2.715427 0.055613   64.0
 tarefa_a_guided 1000000 20.0        1  0.748877 0.006827    1.0
 tarefa_a_guided 1000000 20.0        1  0.751026 0.002224    4.0
 tarefa_a_guided 1000000 20.0        1  0.747179 0.002304   16.0
 tarefa_a_guided 1000000 20.0        1  0.742927 0.003367   64.0
 tarefa_a_guided 1000000 20.0        2  0.409772 0.025327    1.0
 tarefa_a_guided 1000000 20.0        2  0.399663 0.015481    4.0
 tarefa_a_guided 1000000 20.0        2  0.402305 0.014201   16.0
 tarefa_a_guided 1000000 20.0        2  0.400444 0.014957   64.0
 tarefa_a_guided 1000000 20.0        4  0.222254 0.005025    1.0
 tarefa_a_guided 1000000 20.0        4  0.225227 0.014245    4.0
 tarefa_a_guided 1000000 20.0        4  0.226130 0.009174   16.0
 tarefa_a_guided 1000000 20.0        4  0.232357 0.020027   64.0
 tarefa_a_guided 1000000 20.0        8  0.154243 0.002927    1.0
 tarefa_a_guided 1000000 20.0        8  0.158249 0.007857    4.0
 tarefa_a_guided 1000000 20.0        8  0.161037 0.005636   16.0
 tarefa_a_guided 1000000 20.0        8  0.153903 0.004114   64.0
 tarefa_a_guided 1000000 20.0       16  0.143425 0.002994    1.0
 tarefa_a_guided 1000000 20.0       16  0.149165 0.009953    4.0
 tarefa_a_guided 1000000 20.0       16  0.141556 0.003338   16.0
 tarefa_a_guided 1000000 20.0       16  0.142681 0.004014   64.0
 tarefa_a_guided 1000000 24.0        1  4.608269 0.009093    1.0
 tarefa_a_guided 1000000 24.0        1  4.608573 0.013349    4.0
 tarefa_a_guided 1000000 24.0        1  4.609852 0.024520   16.0
 tarefa_a_guided 1000000 24.0        1  4.595333 0.021336   64.0
 tarefa_a_guided 1000000 24.0        2  2.510700 0.071659    1.0
 tarefa_a_guided 1000000 24.0        2  2.511275 0.057909    4.0
 tarefa_a_guided 1000000 24.0        2  2.530453 0.088831   16.0
 tarefa_a_guided 1000000 24.0        2  2.545157 0.082927   64.0
 tarefa_a_guided 1000000 24.0        4  1.406949 0.031062    1.0
 tarefa_a_guided 1000000 24.0        4  1.430789 0.028681    4.0
 tarefa_a_guided 1000000 24.0        4  1.419570 0.024102   16.0
 tarefa_a_guided 1000000 24.0        4  1.412985 0.030254   64.0
 tarefa_a_guided 1000000 24.0        8  0.973998 0.013361    1.0
 tarefa_a_guided 1000000 24.0        8  0.953656 0.017493    4.0
 tarefa_a_guided 1000000 24.0        8  0.952497 0.017387   16.0
 tarefa_a_guided 1000000 24.0        8  0.962699 0.016613   64.0
